* RCK derivative values
* time_minute  dRCK_dt
59.350000  0.02313647
59.366667  0.02308710
59.383333  0.02303757
59.400000  0.02298788
59.416667  0.02293804
59.433333  0.02288804
59.450000  0.02283789
59.466667  0.02278758
59.483333  0.02273712
59.500000  0.02268650
59.516667  0.02263572
59.533333  0.02258479
59.550000  0.02253371
59.566667  0.02248246
59.583333  0.02243107
59.600000  0.02237951
59.616667  0.02232780
59.633333  0.02227594
59.650000  0.02222392
59.666667  0.02217174
59.683333  0.02211941
59.700000  0.02206692
59.716667  0.02201428
59.733333  0.02196148
59.750000  0.02190852
59.766667  0.02185541
59.783333  0.02180215
59.800000  0.02174873
59.816667  0.02169515
59.833333  0.02164142
59.850000  0.02158753
59.866667  0.02153348
59.883333  0.02147928
59.900000  0.02142493
59.916667  0.02137042
59.933333  0.02131575
59.950000  0.02126093
59.966667  0.02120595
59.983333  0.02115082
